Model:	LI-7810
SN:	TG10-01213
Software Version:	2.0.25
Timestamp:	2024-03-11 12:01:13
Timezone:	Asia/Chongqing
DATAH	SECONDS	NANOSECONDS	NDX	DIAG	DATE	TIME	H2O	CO2	CH4	CAVITY_P	CAVITY_T	LASER_PHASE_P	LASER_T	RESIDUAL	RING_DOWN_TIME	THERMAL_ENCLOSURE_T	PHASE_ERROR	LASER_T_SHIFT	INPUT_VOLTAGE	CHK
DATA	1710136196	65568923	26105	0	2024-03-11	13:49:56	12479.2	502.715	2169.06	39.3173	54.9995	34.7391	39.0158	0.00181192	12.5889	54.4998	-70.5	0.059731	23.8467	243
DATA	1710136197	65568923	26109	0	2024-03-11	13:49:57	12438	503.446	2169.08	39.3165	54.9995	34.7391	39.0158	0.00180908	12.5881	54.4998	-86	0.059731	23.8467	 57
DATA	1710136198	65568923	26113	0	2024-03-11	13:49:58	12436.2	502.818	2168.84	39.3173	54.9995	34.7395	39.0158	0.00180255	12.588	54.4998	-138.75	0.059731	23.8467	 46
DATA	1710136199	65568923	26117	0	2024-03-11	13:49:59	12547.6	503.296	2168.97	39.316	54.9995	34.7391	39.0158	0.001839	12.589	54.4998	-154.25	0.059731	23.8463	158
DATA	1710136200	65568923	26121	0	2024-03-11	13:50:00	12654.7	503.802	2169.12	39.3181	54.9995	34.74	39.0158	0.00183724	12.5871	54.4998	-198.75	0.059731	23.8463	201
DATA	1710136201	65568923	26125	0	2024-03-11	13:50:01	12739.4	502.161	2169.36	39.3165	54.9995	34.7391	39.0159	0.00186493	12.5873	54.4998	-259	0.059731	23.8471	170
DATA	1710136202	65568923	26129	0	2024-03-11	13:50:02	12737.2	497.549	2168.83	39.3177	54.9995	34.74	39.0161	0.00185825	12.5866	54.4998	-167.75	0.059731	23.8463	240
DATA	1710136203	65568923	26133	0	2024-03-11	13:50:03	12730.2	495.953	2169.6	39.316	54.9995	34.74	39.0159	0.00184725	12.5869	54.4998	-259.75	0.059731	23.8467	133
DATA	1710136204	65207958	26137	0	2024-03-11	13:50:04	12665.1	494.459	2169.97	39.3177	54.9995	34.74	39.0158	0.00184177	12.5878	54.4998	-255	0.059731	23.8463	 95
DATA	1710136205	65207958	26141	0	2024-03-11	13:50:05	12452.8	493.12	2170.94	39.3169	54.9995	34.7395	39.0158	0.00182493	12.5882	54.4998	-184	0.059731	23.8463	123
DATA	1710136206	65207958	26145	0	2024-03-11	13:50:06	12342.9	494.656	2170.77	39.3165	54.9995	34.74	39.0158	0.00179126	12.5882	54.4998	-63.25	0.059731	23.8463	175
